Accession.trimmed,Gene.Symbol
P31946,1433B
P62258,1433E
Q04917,1433F
P61981,1433G
P31947,1433S
P27348,1433T
P63104,1433Z
P30443,1A01
P01892,1A02
P04439,1A03
P13746,1A11
Q96QU6,1A1L1
Q4AC99,1A1L2
P30447,1A23
P05534,1A24
P18462,1A25
P30450,1A26
P30512,1A29
P16188,1A30
P16189,1A31
P10314,1A32
P16190,1A33
P30453,1A34
P30455,1A36
P30456,1A43
P30457,1A66
P01891,1A68
P10316,1A69
P30459,1A74
Q09160,1A80
P01889,1B07
P30460,1B08
P30461,1B13
P30462,1B14
P30464,1B15
P30466,1B18
P03989,1B27
P30685,1B35
P18463,1B37
Q95365,1B38
P30475,1B39
Q04826,1B40
P30479,1B41
P30480,1B42
P30481,1B44
P30483,1B45
P30484,1B46
P30485,1B47
P30486,1B48
P30487,1B49
P30488,1B50
P18464,1B51
P30490,1B52
P30491,1B53
P30492,1B54
P30493,1B55
P30495,1B56
P18465,1B57
P10319,1B58
Q29940,1B59
Q29836,1B67
Q31612,1B73
P30498,1B78
Q31610,1B81
Q29718,1B82
P30499,1C01
P30501,1C02
P04222,1C03
P30504,1C04
Q9TNN7,1C05
Q29963,1C06
P10321,1C07
P30505,1C08
P30508,1C12
P30510,1C14
Q07000,1C15
Q29960,1C16
Q95604,1C17
Q29865,1C18
Q15172,2A5A
Q15173,2A5B
Q14738,2A5D
Q16537,2A5E
Q13362,2A5G
P30153,2AAA
P30154,2AAB
P63151,2ABA
Q00005,2ABB
Q66LE6,2ABD
Q9Y2T4,2ABG
P04229,2B11
P01912,2B13
P13760,2B14
P13761,2B17
Q30134,2B18
Q9TQE0,2B19
Q30167,2B1A
P20039,2B1B
Q95IE3,2B1C
Q5Y7A7,2B1D
Q9GIY3,2B1E
P01911,2B1F
Q29974,2B1G
P14060,3BHS1
P26439,3BHS2
Q9H2F3,3BHS7
Q9Y3L3,3BP1
P78314,3BP2
Q7L8J4,3BP5L
O60239,3BP5
P46952,3HAO
P31937,3HIDH
P29372,3MG
P11171,41
Q13541,4EBP1
Q13542,4EBP2
O60516,4EBP3
Q9NRA8,4ET
P08195,4F2
P08908,5HT1A
P28222,5HT1B
P28221,5HT1D
P28566,5HT1E
P30939,5HT1F
P28223,5HT2A
P41595,5HT2B
P28335,5HT2C
P46098,5HT3A
O95264,5HT3B
Q8WXA8,5HT3C
Q70Z44,5HT3D
A5X5Y0,5HT3E
Q13639,5HT4R
P47898,5HT5A
P50406,5HT6R
P34969,5HT7R
Q9BXI3,5NT1A
Q96P26,5NT1B
Q9H0P0,5NT3A
Q969T7,5NT3B
P49902,5NTC
P21589,5NTD
P56378,68MP
P52209,6PGD
O95336,6PGL
P05408,7B2
P36639,8ODP
P0DKL9,A14EL
Q8IZ83,A16A1
Q676U5,A16L1
Q8NAA4,A16L2
P02763,A1AG1
P19652,A1AG2
P20848,A1ATR
P01009,A1AT
P04217,A1BG
Q9NQ94,A1CF
Q8NF67,A2012
Q5TYW2,A20A1
Q5SQ80,A20A2
Q5VUR7,A20A3
Q4UJ75,A20A4
A0PJZ0,A20A5
Q96IX9,A26L1
P08697,A2AP
P02750,A2GL
P01023,A2MG
A8K2U0,A2ML1
A7E2S9,A30BL
U3KPV4,A3LT2
Q5T5F5,A4AS1
Q9NPC4,A4GAT
Q9UNA3,A4GCT
P05067,A4
Q96GX2,A7L3B
P30542,AA1R
P29274,AA2AR
P29275,AA2BR
P0DMS8,AA3R
Q9NS82,AAA1
P22760,AAAD
Q9NRG9,AAAS
Q15758,AAAT
Q86V21,AACS
P01011,AACT
Q8N5Z0,AADAT
Q7RTV5,AAED1
Q6PD74,AAGAB
Q2M2I8,AAK1
Q9Y478,AAKB1
O43741,AAKB2
P54619,AAKG1
Q9UGJ0,AAKG2
Q9UGI9,AAKG3
Q9H7C9,AAMDC
Q13685,AAMP
Q13131,AAPK1
P54646,AAPK2
Q9Y312,AAR2
Q4LEZ3,AARD
P86434,AAS1
Q9BTE6,AASD1
Q9UDR5,AASS
Q8NHS2,AATC2
P17174,AATC
Q9NY61,AATF
P00505,AATM
Q7Z5M8,AB12B
Q96GS6,AB17A
Q5VST6,AB17B
Q6PCB6,AB17C
Q7Z5R6,AB1IP
P31941,ABC3A
Q9UH17,ABC3B
Q9NRW3,ABC3C
Q96AK3,ABC3D
Q8IUX4,ABC3F
Q9HC16,ABC3G
Q6NTF7,ABC3H
O95477,ABCA1
Q9BZC7,ABCA2
Q99758,ABCA3
P78363,ABCA4
Q8WWZ7,ABCA5
Q8N139,ABCA6
Q8IZY2,ABCA7
O94911,ABCA8
Q8IUA7,ABCA9
Q8WWZ4,ABCAA
Q4W5N1,ABCAB
Q86UK0,ABCAC
Q86UQ4,ABCAD
Q2M3G0,ABCB5
Q9NP58,ABCB6
O75027,ABCB7
Q9NUT2,ABCB8
Q9NP78,ABCB9
Q9NRK6,ABCBA
O95342,ABCBB
Q09428,ABCC8
O60706,ABCC9
Q96J66,ABCCB
Q9NSE7,ABCCD
P33897,ABCD1
Q9UBJ2,ABCD2
P28288,ABCD3
O14678,ABCD4
P61221,ABCE1
Q8NE71,ABCF1
Q9UG63,ABCF2
Q9NUQ8,ABCF3
P45844,ABCG1
Q9UNQ0,ABCG2
Q9H172,ABCG4
Q9H222,ABCG5
Q9H221,ABCG8
Q8N2K0,ABD12
Q0P651,ABD18
P41238,ABEC1
Q9Y235,ABEC2
Q8WW27,ABEC4
Q6UXT9,ABH15
Q96SE0,ABHD1
P08910,ABHD2
Q8WU67,ABHD3
Q8TB40,ABHD4
Q8WTS1,ABHD5
Q9BV23,ABHD6
Q96I13,ABHD8
Q9NUJ1,ABHDA
Q8NFV4,ABHDB
Q7L211,ABHDD
Q9BUJ0,ABHEA
Q96IU4,ABHEB
O95870,ABHGA
Q9H3Z7,ABHGB
